city_name,long,lat,temp,humidity,cloud,wind
Oranjestad,-70.027,12.524,83.8,79,100,10.02
High Level,-117.136,58.5169,50.11,62,0,4.61
Dolisie,12.6739,-4.1997,69.85,87,93,2.71
Palmer,-72.3287,42.1584,53.19,92,0,0.0
Talgar,77.2395,43.3027,75.36,22,20,4.47
Ostrovnoy,39.5131,68.0531,48.72,85,97,17.74
Abancay,-72.8814,-13.6339,52.21,89,14,1.88
Mt. Pleasant,-79.8626,32.7941,74.82,92,100,8.05
Assiut,31.1837,27.181,82.87,47,0,12.91
Theog,77.35,31.1167,69.03,76,30,4.47
Safaga,33.9365,26.7292,87.51,43,0,12.68
Kouroussa,-9.8833,10.65,69.1,98,69,5.64
Chinsali,32.0816,-10.5414,68.07,47,61,6.6
Juneau,-134.4197,58.3019,52.5,94,100,5.75
Nome,-165.4064,64.5011,53.67,66,100,10.36
Mahajanga,46.3167,-15.7167,82.42,39,20,14.97
Boueni,45.0761,-12.9025,80.58,68,78,4.83
Borgo San Lorenzo,11.3835,43.9553,69.31,92,52,3.04
Yantarnyy,19.9381,54.8717,49.75,59,98,21.63
Kushmurun,64.6311,52.4503,60.98,35,95,10.42
Qiongshan,110.3542,20.0058,87.78,74,40,11.18
Hammerfest,23.6821,70.6634,46.85,87,100,12.66
Laguna,-121.4238,38.421,85.1,37,0,5.75
Tual,132.75,-5.6667,81.07,80,61,13.87
Llanes,-4.7549,43.4198,65.25,80,85,6.29
Ust'-Kulom,53.6902,61.6864,44.87,63,99,6.24
Sechura,-80.8222,-5.5569,61.52,85,45,11.65
Hualmay,-77.6139,-11.0964,59.13,83,53,10.33
Izhma,53.9113,65.0083,43.0,97,100,7.63
North Bend,-124.2243,43.4065,51.73,96,0,5.75
Algiers,3.042,36.7525,67.82,68,0,4.61
Auki,160.7034,-8.7676,83.71,67,22,3.87
Hanover,9.7332,52.3705,58.91,90,0,5.75
Tambopata,-69.1833,-12.7333,78.17,46,70,2.71
Varhaug,5.6457,58.6147,56.62,62,100,19.3
Sungai Penuh,101.3833,-2.0833,77.23,62,88,4.88
Nabire,135.4833,-3.3667,81.97,76,80,3.65
Isla Vista,-119.861,34.4133,77.79,56,0,3.44
Thinadhoo,72.9333,0.5333,81.79,75,85,12.3
Airai,125.4092,-8.9266,78.82,30,15,3.36
Inhambane,35.3833,-23.865,71.17,66,2,3.87
Kiryat Gat,34.7642,31.61,82.29,100,0,8.59
Ballina,153.5667,-28.8667,71.78,79,62,6.49
Dali,100.1833,25.7,67.84,69,100,3.15
Beira,34.8389,-19.8436,72.63,67,5,0.96
Jinka,36.65,5.65,72.48,51,17,4.59
Al Bardīyah,25.0865,31.7561,77.16,58,0,7.25
São Félix do Xingu,-51.995,-6.6447,71.53,75,4,1.48
Voh,164.7,-20.9667,72.81,88,100,2.64
Bambous Virieux,57.7575,-20.3428,75.45,57,75,13.8
Dunedin,170.5036,-45.8742,47.8,80,39,4.85
Yeppoon,150.7333,-23.1333,73.18,80,92,9.19
Wanxian,108.3897,30.8039,87.67,46,97,4.41
Province of Mantua,10.7833,45.1667,67.66,88,42,5.01
Haines Junction,-137.5108,60.7522,53.55,58,99,8.05
Laas,10.7002,46.6166,58.15,90,57,0.96
Trelleborg,13.1569,55.3751,56.08,88,100,8.08
Zhezkazgan,67.7144,47.8043,69.78,19,0,8.95
Tīkamgarh,78.8333,24.745,89.69,59,52,6.02
Srednekolymsk,153.6833,67.45,50.02,86,100,9.73
Pucara,-71.4606,-15.9803,31.41,22,37,1.72
Klichka,117.996,50.4457,86.9,20,2,18.79
Timizart,4.2667,36.8,74.88,43,90,2.26
Huanan,130.5167,46.2167,71.24,48,1,2.71
Tākestān,49.6959,36.0696,80.73,38,7,3.71
Aksarka,67.7975,66.5606,44.33,67,97,11.18
Sadovoye,44.5089,47.7764,64.87,34,85,12.97
Seguin,-97.9647,29.5688,75.87,85,0,0.0
Yumen,97.2,40.2833,88.39,6,0,8.88
Banda Aceh,95.3222,5.5577,86.0,62,85,11.23
Belyy Yar,91.3903,53.6039,64.85,33,0,2.24
Cidreira,-50.2056,-30.1811,63.48,89,99,10.74
Alyangula,136.4192,-13.8483,81.77,64,23,1.14
Araouane,-3.5265,18.9048,91.17,18,6,6.17
Coquimbo,-71.3436,-29.9533,47.93,81,0,3.44
Phuket,98.25,8.0,88.02,70,20,9.22
Kamenka,42.7678,51.3223,50.11,66,27,11.61
Lac du Bonnet,-96.0612,50.2536,54.25,70,84,2.71
Salalah,54.0924,17.0151,80.69,78,75,5.75
Kaduy,37.15,59.2,45.52,70,94,5.84
Hasaki,140.8333,35.7333,81.0,80,98,15.32
Vaitape,-151.75,-16.5167,78.44,75,9,22.84
Kumluca,30.2869,36.3703,84.54,31,0,2.1
Rach Gia,105.0833,10.0167,85.26,68,42,15.66
Peleduy,112.7406,59.6289,53.06,64,99,14.92
Māngrol,70.1167,21.1167,89.08,68,74,8.59
Samarai,150.6667,-10.6167,82.2,78,32,10.31
Ixtapa,-105.2,20.7,74.98,95,74,2.55
Barra Patuca,-84.2833,15.8,78.55,87,8,8.14
Marsh Harbour,-77.0636,26.5412,83.71,70,0,7.23
Vostok,135.8833,46.4856,61.2,40,0,8.46
Dudinka,86.1778,69.4058,38.62,68,100,7.27
Puerto Escondido,-97.0667,15.85,79.03,83,99,2.91
Vanavara,102.2797,60.34,48.07,46,64,13.96
Ayan,138.1667,56.45,57.38,56,29,8.55
Korem,39.5228,12.5058,64.0,58,30,3.74
Ziro,93.8333,27.6333,65.14,86,100,2.01
Kabompo,24.2008,-13.5927,67.82,42,23,9.01
Mengcheng,116.5655,33.2579,88.32,27,100,9.22
Vila Velha,-40.2925,-20.3297,68.95,83,20,6.91
Eagle Pass,-100.4995,28.7091,80.28,77,71,3.36
Gijang,129.2139,35.2442,83.93,63,47,18.32
Riyadh,46.7219,24.6877,98.74,11,0,4.16
Tarakan,117.6333,3.3,87.3,66,75,6.91
Vardø,31.1107,70.3705,49.98,81,0,10.36
Gigmoto,124.39,13.7796,86.77,66,100,6.91
Sawākin,37.3321,19.1059,94.44,38,40,6.67
Nara,135.8049,34.6851,83.44,80,98,3.62
Pervomayskoye,46.7102,43.919,70.99,61,8,3.83
Souillac,57.5167,-20.5167,75.58,57,75,13.8
San Policarpo,125.5072,12.1791,81.72,78,97,2.26
San Cristobal,-72.225,7.7669,64.78,96,87,1.7
Luanda,13.2343,-8.8368,69.89,87,69,1.61
Sinnamary,-52.95,5.3833,77.52,87,56,9.24
Hurricane,-113.2899,37.1753,84.9,36,92,1.77
Kalevala,31.1667,65.2,44.65,75,35,6.46
Chapais,-74.8492,49.7834,55.18,65,57,5.5
Priozyornoye,36.3303,45.2698,68.49,46,35,6.64
Gannan,123.5031,47.9147,84.13,29,2,11.81
Baldwin,-87.7667,30.7505,71.83,98,100,2.82
Ossora,163.0719,59.2353,58.98,72,56,3.49
Diamantino,-56.4461,-14.4086,82.63,36,47,5.41
San Patricio,-97.5169,28.017,77.41,77,15,6.64
Oriximiná,-55.8661,-1.7656,74.12,84,95,3.42
Ojinaga,-104.4167,29.5667,74.35,64,0,0.0
Arrifes,-25.7,37.7667,73.65,94,75,10.36
Port Lincoln,135.8667,-34.7333,57.79,73,94,18.07
Kayerkan,87.7602,69.3497,37.53,100,97,5.12
Kirakira,161.9205,-10.4544,82.13,78,13,9.17
Mukhen,136.1,48.1,63.28,46,1,9.48
Jalu,21.5482,29.0331,75.69,60,0,8.08
Hamilton,-84.5333,39.1834,61.32,94,0,0.0
Labuhan,112.2051,-6.8844,85.82,62,88,13.49
Fes,-4.9998,34.0372,62.85,51,0,4.61
Chara,118.2631,56.9064,62.58,55,95,1.48
Brezová pod Bradlom,17.539,48.6635,57.72,84,100,3.02
Zamora,-78.9567,-4.0692,64.67,97,95,2.42
Cruzília,-44.8083,-21.8386,58.41,64,28,4.32
Nagato,131.2,34.3833,77.67,79,69,19.44
Porto Walter,-72.7439,-8.2686,73.63,67,26,2.35
Awjilah,21.2869,29.1081,75.0,60,0,8.66
Lumeje,20.7833,-11.55,68.7,29,80,4.94
Alice Springs,133.8833,-23.7,74.75,23,15,3.44
Emerald,148.1667,-23.5333,78.35,35,69,9.4
Rawson,-65.1023,-43.3002,38.68,82,19,7.54
Constitución,-72.4167,-35.3333,43.16,80,0,8.05
Baykit,96.37,61.67,44.85,62,98,12.55
Koumac,164.2833,-20.5667,74.68,82,100,6.73
Itarema,-39.9167,-2.9248,76.87,82,8,16.82
Beipiao,120.7792,41.7919,86.81,34,79,3.83
Ciudad Bolivar,-63.5497,8.1222,75.27,87,97,4.9
Padang,100.3543,-0.9492,86.05,61,99,5.19
Ancud,-73.8203,-41.8697,46.22,85,90,1.63
Vieux-Habitants,-61.7659,16.0589,76.57,77,100,5.82
Khani,42.9566,41.9563,58.57,59,1,3.98
Qaanaaq,-69.3632,77.484,28.58,76,35,7.52
Brae,-1.353,60.3964,55.17,87,99,9.84
Fonte Boa,-66.2662,-2.4959,71.56,99,68,1.63
Lyuban',28.0048,52.7985,46.72,57,98,13.06
Senftenberg,14.0167,51.5167,56.23,90,34,4.88
La Ronge,-105.2842,55.1001,48.45,76,20,9.22
Zhangye,100.4517,38.9342,86.18,8,0,4.88
Aripuanã,-60.6333,-9.1667,74.62,72,71,0.89
Batagay-Alyta,130.4114,67.8006,44.22,61,94,11.97
Pasaje,-79.8167,-3.3333,69.28,90,98,1.7
Bandarbeyla,50.8122,9.4942,83.91,55,100,21.68
Funadhoo,73.2667,6.15,80.64,82,96,15.03
Krasavino,46.4814,60.9614,44.69,77,98,7.38
Matara,80.5353,5.9485,84.74,66,100,13.65
São Francisco de Paula,-50.5836,-29.4481,67.05,74,99,8.72
Chiquinquirá,-73.8175,5.6164,49.15,96,90,3.22
Mashhad,59.6062,36.297,84.34,37,0,6.91
Muswellbrook,150.9,-32.2667,70.25,57,23,10.49
Corumbá,-57.6533,-19.0092,75.06,39,0,2.42
Ipixuna,-48.8043,-1.7625,71.56,96,17,2.89
Naryan-Mar,53.087,67.6713,45.72,86,100,9.66
Nanortalik,-45.2371,60.1432,42.89,88,37,6.24
Odienné,-7.5692,9.51,68.68,98,50,3.04
Syracuse,15.2792,37.0881,78.71,71,0,8.93
Barranca,-77.7667,-10.75,59.34,81,75,8.7
Khovd,91.6419,48.0056,83.7,14,99,19.26
Malbork,19.0266,54.0359,52.88,92,100,9.19
Necochea,-58.7368,-38.5473,45.14,70,100,15.43
Yerbogachën,108.0108,61.2767,43.72,72,100,16.46
San Jose,-121.895,37.3394,78.39,46,0,5.75
Surgut,73.4167,61.25,44.1,81,75,4.47
Salinópolis,-47.3561,-0.6136,78.76,78,3,11.95
Lubango,13.4925,-14.9172,64.81,27,0,5.7
Evensk,159.2333,61.95,49.01,96,100,18.1
Eureka,-124.1637,40.8021,53.24,92,0,1.01
Akhtanizovskaya,37.1,45.32,70.27,45,36,5.32
Pudozh,36.5345,61.8099,47.89,65,88,4.99
Sibolga,98.7792,1.7427,86.34,58,92,5.84
Carutapera,-46.02,-1.195,76.57,80,2,7.61
Katobu,122.5276,-4.9408,89.98,44,16,1.66
Hearst,-83.6665,49.6835,70.05,75,97,12.15
Port Hardy,-127.4199,50.6996,53.78,87,20,4.61
Miyako,141.9525,39.6367,74.3,69,60,4.99
Kungurtug,97.5228,50.5994,79.5,20,51,14.43
Flinders,150.8552,-34.5833,65.37,76,100,5.21
Bahía Blanca,-62.2724,-38.7196,40.12,69,84,6.8
Lata,-8.3327,40.1629,66.38,98,79,1.03
Temozon,-88.2167,20.8,73.56,99,100,1.81
Adrar,-10.0711,20.5022,89.02,30,29,5.7
Coyhaique,-72.0662,-45.5752,39.15,81,100,3.44
Nuuk,-51.7216,64.1835,45.21,76,100,1.14
Imbituba,-48.6703,-28.24,69.85,90,69,8.14
Telfs,11.0667,47.3,58.71,90,98,1.1
Myaundzha,147.1858,63.0494,49.5,75,100,4.52
Fort-Shevchenko,50.263,44.5086,71.69,45,18,6.08
Lloydminster,-110.0016,53.2835,46.62,76,100,9.22
Kitui,38.0106,-1.367,67.23,62,85,9.01
Zhigansk,123.3711,66.7697,41.4,97,100,19.77
Progreso,-89.6667,21.2833,74.1,83,100,2.66
Santa Rosa,121.1114,14.3122,88.52,69,93,3.31
Santa Cruz de la Sierra,-63.1667,-17.8,76.46,69,1,14.97
Banjar,114.9675,-8.19,83.73,80,96,2.59
Codrington,141.9667,-38.2667,57.58,84,100,6.69
Sterlibashevo,55.2578,53.4376,49.19,69,99,11.43
Sardinata,-72.8007,8.0829,72.19,97,100,2.39
Måløy,5.1136,61.9353,59.74,61,11,6.11
Tifton,-83.5085,31.4505,71.26,100,84,0.0
Coolum Beach,153.1,-26.5333,66.47,95,64,7.27
Le Pont-de-Claix,5.7064,45.1244,59.94,82,25,3.18
Kieta,155.6333,-6.2167,82.0,79,95,6.24
Bom Jesus,-44.3586,-9.0744,70.03,55,19,3.11
Cap Malheureux,57.6142,-19.9842,71.58,72,58,20.83
Dano,-3.0667,11.15,72.45,94,100,5.41
Dzilam González,-88.9333,21.2833,74.73,96,100,3.44
Chaman,66.4512,30.9236,88.23,13,0,4.12
Parfen'yevo,43.4088,58.484,45.03,71,21,7.27
Campbell River,-125.2446,50.0163,58.01,84,9,9.19
Manaure,-72.4445,11.7751,82.35,75,100,3.44
Beringovskiy,179.3167,63.05,47.46,82,4,8.28
Launceston,147.1667,-41.45,65.66,67,75,1.14
Corrales,-106.6067,35.2378,75.76,30,92,8.99
Puerto López,-72.956,4.0845,73.2,90,32,3.18
Palauig,119.9045,15.435,83.73,79,100,3.94
Saldanha,17.9442,-33.0117,48.25,85,7,7.47
Luoyang,112.4536,34.6836,76.77,62,97,5.14
Le Chambon-Feugerolles,4.3259,45.3969,57.76,72,0,6.91
Montepuez,38.9997,-13.1256,73.56,41,0,6.13
Paamiut,-49.6678,61.994,43.02,80,89,15.93
Kenora,-94.4337,49.8167,58.17,77,75,5.75
Faya,42.4509,18.3851,77.52,22,0,15.86
Aitape,142.3475,-3.1374,82.22,80,63,7.74
Andros Town,-77.7667,24.7,78.76,69,12,7.61
Te Anau,167.7167,-45.4167,44.58,89,10,1.7
Olafsvik,-23.7142,64.8945,50.99,95,100,6.96
Leshukonskoye,45.7622,64.8989,44.76,94,100,9.19
Trelew,-65.3051,-43.249,37.83,85,21,6.64
Wuhu,118.3755,31.3366,85.5,47,98,9.4
Nouakchott,-15.9785,18.0858,79.7,87,100,12.37
Burē,37.0667,10.7,63.32,84,20,2.46
Idrinskoye,92.1358,54.3708,60.89,39,79,7.4
Champasak,106.0,14.75,85.08,54,91,3.85
Forsytheganj,29.7333,52.6333,46.69,57,55,10.89
Orange Cove,-119.3137,36.6244,81.77,42,0,4.61
Nevel',29.9284,56.0209,47.25,53,8,3.71
Batagay,134.6333,67.6333,41.45,93,100,3.36
Ilhabela,-45.3581,-23.7781,73.98,58,35,4.29
Santa Cruz del Sur,-77.9956,20.7147,80.76,71,1,2.3
Sawtell,153.1,-30.3833,68.02,73,67,16.11
Talaya,152.75,61.3833,46.49,86,100,7.14
Mitsamiouli,43.2844,-11.3847,76.59,69,22,5.73
Lienz,12.769,46.8289,57.96,87,93,1.34
Dutlwe,23.9,-23.9833,65.28,41,0,12.35
Buala,159.5921,-8.145,83.5,71,71,7.63
Mmabatho,25.6333,-25.85,64.36,52,0,4.61
Asău,26.4,46.4333,58.12,66,83,2.08
